,avg_precision,pr_auc,accuracy,roc_auc,precision,recall,f1,best_threshold
0,0.06786800853150933,0.06878162856224766,0.9870002813608162,0.9338198485284983,0.0990280321171996,0.27542040865529505,0.1456774183264392,0.06729821353026569
1,0.06646759160926627,0.06777365823660612,0.9880979634115516,0.9374655868660191,0.0998704072571936,0.25082876258212283,0.14285959491932715,0.06675057957537679
2,0.05468660134447714,0.05511687720863082,0.9910766580553947,0.9712591389222537,0.07345400760670517,0.31430638015731893,0.1190790187313386,0.06104935878159635
3,0.06464725207520772,0.06576923749868104,0.9932970382579526,0.9662574657376264,0.09650061349693252,0.29628401796208675,0.1455840540220353,0.061305445571180193
4,0.0914785273478084,0.09400876564128109,0.9885281330655312,0.9512475615481759,0.12545411418084668,0.30284491591826895,0.1774140868444515,0.06843221917486636
mean,0.06902959618165376,0.07029003342948933,0.9896000148302493,0.9520099203205147,0.09886143493177552,0.2879368970550185,0.14612283456871836,0.06496716332665707
std,0.013571975764118031,0.014333945310347693,0.0025501059063003676,0.016707202829335514,0.018434527458993735,0.025104527574053626,0.020746372316295544,0.003513486515315797
