,avg_precision,pr_auc,accuracy,roc_auc,precision,recall,f1,best_threshold,brier,pred_acres,actual_acres,acres_error_pct,acres_error_isotonic_pct
0,0.022468542186619467,0.23536425671928168,0.9593965812513815,0.8973080334100901,0.030470043378947587,0.4382025858171845,0.05697815902549322,0.02764447351501527,0.002751780853904051,6348.917067126267,7379.283296215811,-13.962958023551264,-21.28461704722082
1,0.021626637565038048,0.27212913280815554,0.9471991255885729,0.9061468513667388,0.027217135627804874,0.5141341691278404,0.05169751800397883,0.028315600611001194,0.002751951128921742,8332.026852446568,7379.505691059132,12.90765535341334,-6.316603880493021
2,0.021047684798289806,0.27260594523587905,0.9455698735575302,0.9029139152496763,0.02649154189439283,0.5159579277297248,0.05039555506494463,0.02866053413258858,0.0027533882944943645,8524.991451259755,7379.283296215811,15.526008543830772,14.6183118199124
3,0.021922159246326303,0.24311383554988206,0.955492716158555,0.8993912739038401,0.028752318658504736,0.45452353685733227,0.054083420143402464,0.028030076917337728,0.0027521659059793827,7162.278199265651,7379.505691059132,-2.9436591133288226,9.64739466386131
4,0.021866061345385924,0.23675269898048318,0.955860904748487,0.9098262033473185,0.028200936244124404,0.4413537460068712,0.053014438244242894,0.028138219023894705,0.002752798843222549,6651.55611402239,7379.505691059132,-9.86447612498913,6.262963573134539
mean,0.02178621702833191,0.2519931738587363,0.9527038402609053,0.9031172554555328,0.028226395160754886,0.4728343931077907,0.05323381809641241,0.028157780839967495,0.0027524170053044176,7403.953936824126,7379.416733121803,0.3325141270749789,0.5854898258388817
std,0.0005151015635647297,0.018828029604871368,0.005994435575296007,0.0050462803067214835,0.0015280315498688406,0.039022401938907755,0.002510278628000558,0.00037344454733038247,6.659547967743316e-07,981.791333200064,0.12181067235980798,13.304594082172358,14.467311366767486
