,avg_precision,pr_auc,accuracy,roc_auc,precision,recall,f1,best_threshold
0,0.02342680529487297,0.2517138037008552,0.938548946561707,0.8744255203611928,0.0303415909780756,0.4699535892954011,0.057002906073510856,0.027218973899236436
1,0.022308328761666548,0.2420580967508943,0.9388547451187218,0.8674421940663778,0.029195160954174758,0.4517208124886987,0.054845596965910404,0.029192897004811397
2,0.02478213420821564,0.26669773521044415,0.9350252918619989,0.8893905597838279,0.030805294217392358,0.4982219275510819,0.058022999317355835,0.029502459525673867
3,0.018908232026520724,0.23970756395890402,0.9646573604618113,0.9200923990179999,0.024979850930187637,0.452096079081402,0.04734379561467875,0.027595574502472162
4,0.019972476712499843,0.2601147650352036,0.9631091885628075,0.9225981224672637,0.025940215673411558,0.49217925921461075,0.04928298106056033,0.02686675762976961
mean,0.021879595400755146,0.25205839293126026,0.9480391065134093,0.8947897591393325,0.02825242255064838,0.47283433352623894,0.05329965580640324,0.028075332512392692
std,0.002422215116007611,0.01153129562951888,0.01455205087940834,0.02552093036078828,0.002637544303736559,0.02181118254247021,0.0047439413247111735,0.0011947607476048433
