fold,blocks,nat_rows,nat_n0,nat_n1,nat_n2,nat_prevalence_pct,pool_rows,pool_n0,pool_n1,pool_n2,mean_weight,pos_share_rows_pct,pos_share_weight_pct,kish_ess,converted_acres
0,346,11853460,11775629.0,33181.0,44650.0,0.27992670494522276,625440,514428.0,66362.0,44650.0,19.415334962674187,10.610450243028907,2.7324921932656343,228370.98355859096,7379.283296215811
1,346,11853459,11775626.0,33182.0,44651.0,0.2799351649168399,623497,512482.0,66364.0,44651.0,19.46882151134844,10.643836297528296,2.7335594738808324,246571.95586841938,7379.505691059132
2,345,11853454,11775622.0,33181.0,44651.0,0.2799268466389628,625159,514146.0,66362.0,44651.0,19.421739352147547,10.61521948816221,2.732818955009928,244900.1449570514,7379.283296215811
3,345,11853498,11775666.0,33182.0,44650.0,0.27993424388311366,626078,515064.0,66364.0,44650.0,19.46215385637434,10.59995719383208,2.7232230492208163,246187.29768815133,7379.505691059132
4,345,11853460,11775627.0,33182.0,44651.0,0.2799351413005148,625867,514852.0,66364.0,44651.0,19.43652485004512,10.603530782099073,2.7277331889075986,222376.26991585747,7379.505691059132
